"C01","51","58","47","65","70","62","46","62","46","50","47"
"C02","2589552","2","2","2","2","2","1","2","2","2","2"
"C03","389488","226","241","218","270","280","252","238","351","238","254"
"C04","30832","4","3","2","2","5","3","3","3","3","3"
"C05","2704","7","18","13","7","8","7","8","6","8","8"
"C06","1376","9","13","10","10","9","11","9","12","10","10"
"C07","294239","2","2","2","2","4","3","2","3","3","2"
"C08","2844","7","7","5","5","5","5","5","5","5","5"
"C09","1269","6","9","8","7","7","6","6","7","6","7"
"C10","214208","2","2","4","3","8","3","3","3","3","3"
"C11","46","15","10","10","8","14","9","9","9","10","16"
